day,hours,store,value
Friday,2,14,0
Friday,3,14,0
Friday,4,14,0
Friday,5,14,0
Friday,6,14,0
Friday,7,14,0
Friday,8,14,0
Friday,9,14,0
Friday,10,14,0
Friday,11,14,3
Friday,12,14,1
Friday,13,14,3
Friday,14,14,1
Friday,15,14,3
Friday,16,14,4
Friday,17,14,0
Friday,18,14,2
Friday,19,14,4
Friday,20,14,4
Friday,21,14,1
Friday,22,14,2
Friday,23,14,0
Friday,0,15,3
Friday,1,15,0
Friday,2,15,0
Friday,3,15,0
Friday,4,15,0
Friday,5,15,0
Friday,6,15,0
Friday,7,15,0
Friday,8,15,0
Friday,9,15,0
Friday,10,15,2
Friday,11,15,2
Friday,12,15,3
Friday,13,15,3
Friday,14,15,3
Friday,15,15,3
Friday,16,15,0
Friday,17,15,1
Friday,18,15,2
Friday,19,15,3
Friday,20,15,4
Friday,21,15,4
Friday,22,15,1
Friday,23,15,1
Friday,0,16,0
Friday,1,16,2
Friday,2,16,0
Friday,3,16,0
Friday,4,16,0
Friday,5,16,0
Friday,6,16,0
Friday,7,16,0
Friday,8,16,0
Friday,9,16,2
Friday,10,16,3
Friday,11,16,2
Friday,12,16,4
Friday,13,16,4
Friday,14,16,2
Friday,15,16,4
Friday,16,16,2
Friday,17,16,3
Friday,18,16,2
Friday,19,16,3
Friday,20,16,1
Friday,21,16,0
Friday,22,16,3
Friday,23,16,3
Friday,0,17,3
Friday,1,17,1
Friday,2,17,0
Friday,3,17,0
Friday,4,17,0
Friday,5,17,0
Friday,6,17,0
Friday,7,17,0
Friday,8,17,0
Friday,9,17,0
Friday,10,17,3
Friday,11,17,1
Friday,12,17,3
Friday,13,17,0
Friday,14,17,0
Friday,15,17,3
Friday,16,17,1
Friday,17,17,2
Friday,18,17,0
Friday,19,17,2
Friday,20,17,3
Friday,21,17,3
Friday,22,17,0
Friday,23,17,3
Friday,0,18,0
Friday,1,18,1
Friday,2,18,0
Friday,3,18,0
Friday,4,18,0
Friday,5,18,0
Friday,6,18,0
Friday,7,18,0
Friday,8,18,0
Friday,9,18,0
Friday,10,18,4
Friday,11,18,4
Friday,12,18,2
Friday,13,18,3
Friday,14,18,4
Friday,15,18,4
Friday,16,18,2
Friday,17,18,2
Friday,18,18,1
Friday,19,18,1
Friday,20,18,3
Friday,21,18,0
Friday,22,18,0
Friday,23,18,1
Friday,0,19,2
Friday,1,19,3
Friday,2,19,0
Friday,3,19,0
Friday,4,19,0
Friday,5,19,0
Friday,6,19,0
Friday,7,19,0
Friday,8,19,0
Friday,9,19,0
Friday,10,19,1
Friday,11,19,4
Friday,12,19,0
Friday,13,19,1
Friday,14,19,2
Friday,15,19,1
Friday,16,19,0
Friday,17,19,1
Friday,18,19,1
Friday,19,19,2
Friday,20,19,2
Friday,21,19,4
Friday,22,19,2
Friday,23,19,1
Friday,0,20,0
Friday,1,20,4
Friday,2,20,0
Friday,3,20,0
Friday,4,20,0
Friday,5,20,0
Friday,6,20,0
Friday,7,20,0
Friday,8,20,0
Friday,9,20,0
Friday,10,20,4
Friday,11,20,3
Friday,12,20,1
Friday,13,20,1
Friday,14,20,0
Friday,15,20,1
Friday,16,20,1
Friday,17,20,3
Friday,18,20,0
Friday,19,20,3
Friday,20,20,3
Friday,21,20,0
Friday,22,20,0
Friday,23,20,3
